                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
 1/09/26  3:30a   17.2   17.3   17.2    95   16.4   0.0   WNW   0.00   4.8   WNW   17.2   17.7   17.7    ---   845.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.008   0.000   23.2    36    7.3   22.4   7.10  .9826     0.00   232    1    100.0   10 
 1/09/26  3:40a   17.1   17.2   17.0    95   16.3   0.0   WNW   0.00   3.2   WNW   17.1   17.6   17.6    ---   845.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.008   0.000   23.2    35    6.9   22.4   6.97  .9827     0.00   234    1    100.0   10 
 1/09/26  3:50a   17.0   17.1   16.9    95   16.2   0.0   WNW   0.00   6.4   WNW   17.0   17.4   17.4    ---   845.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.009   0.000   23.2    35    6.9   22.4   6.97  .9828     0.00   225    1     98.7   10 
 1/09/26  4:00a   16.9   17.0   16.9    95   16.1   0.0   WNW   0.00   1.6   WNW   16.9   17.4   17.4    ---   845.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.010   0.000   23.2    35    6.9   22.4   6.97  .9826     0.00   228    1    100.0   10 
 1/09/26  4:10a   16.9   16.9   16.8    95   16.1   0.0   WNW   0.00   3.2   WNW   16.9   17.3   17.3    ---   845.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.010   0.000   23.2    35    6.9   22.4   6.97  .9825     0.00   230    1    100.0   10 
 1/09/26  4:20a   16.8   16.8   16.8    95   16.0   0.0    NW   0.00   8.0    NW   16.8   17.2   17.2    ---   845.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.2    36    7.3   22.5   7.10  .9821     0.00   230    1    100.0   10 
 1/09/26  4:30a   16.8   16.8   16.8    95   16.0   0.0   ---   0.00   0.0   ---   16.8   17.2   17.2    ---   845.2  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.2    35    6.9   22.3   6.98  .9826     0.00   233    1    100.0   10 
 1/09/26  4:40a   16.8   16.8   16.7    95   16.0   0.0   ---   0.00   0.0   ---   16.8   17.2   17.2    ---   845.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.1    36    7.2   22.3   7.11  .9825     0.00   229    1    100.0   10 
 1/09/26  4:50a   16.8   16.8   16.8    95   16.0   0.0   ---   0.00   0.0   ---   16.8   17.2   17.2    ---   845.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.0    36    7.1   22.2   7.11  .9830     0.00   227    1     99.6   10 
 1/09/26  5:00a   16.8   16.8   16.7    95   16.0   0.0   ---   0.00   0.0   ---   16.8   17.2   17.2    ---   845.3  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.0    36    7.1   22.2   7.11  .9830     0.00   233    1    100.0   10 
 1/09/26  5:10a   16.8   16.8   16.7    95   16.0   0.0   ---   0.00   0.0   ---   16.8   17.2   17.2    ---   845.4  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.0    36    7.1   22.2   7.11  .9831     0.00   226    1     99.1   10 
 1/09/26  5:20a   16.8   16.8   16.8    95   16.0   0.0    NW   0.00   3.2    NW   16.8   17.2   17.2    ---   845.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.0    35    6.7   22.1   6.98  .9835     0.00   232    1    100.0   10 
 1/09/26  5:30a   16.8   16.8   16.7    95   16.0   0.0    NW   0.00   1.6    NW   16.8   17.2   17.2    ---   845.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.1    35    6.8   22.3   6.98  .9832     0.00   233    1    100.0   10 
 1/09/26  5:40a   16.7   16.8   16.7    95   15.9   0.0    NW   0.00   1.6    NW   16.7   17.1   17.1    ---   845.5  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.1    34    6.4   22.2   6.78  .9834     0.00   228    1    100.0   10 
 1/09/26  5:50a   16.7   16.7   16.7    95   15.9   0.0    NW   0.00   1.6    NW   16.7   17.1   17.1    ---   845.6  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.011   0.000   23.1    34    6.4   22.2   6.78  .9836     0.00   232    1    100.0   10 
 1/09/26  6:00a   16.7   16.7   16.7    95   15.9   0.0   ---   0.00   0.0   ---   16.7   17.1   17.1    ---   845.7  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.012   0.000   23.1    34    6.4   22.2   6.78  .9836     0.00   228    1    100.0   10 
